Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,977304,1,726JCL30,726JCL30,F,0.01,
BSE,977303,1,849JFSL28,849JFSL28,F,0.01,
BSE,977302,1,840JFSL27,840JFSL27,F,0.01,
BSE,977301,1,10AFPL28,10AFPL28,F,0.01,
BSE,977300,1,1165UCL31B,1165UCL31B,F,0.01,
BSE,977299,1,72841ABH30,72841ABH30,F,0.01,
BSE,977298,1,12ACAPL28A,12ACAPL28A,F,0.01,
BSE,977297,1,71485MBR30,71485MBR30,F,0.01,
BSE,977296,1,925MML027,925MML027,F,0.01,
BSE,977295,1,715NBFID40,715NBFID40,F,0.01,
BSE,977294,1,686NBFID30,686NBFID30,F,0.01,
BSE,977293,1,LDL131125,LDL131125,F,0.01,
BSE,977292,1,1140NFL27,1140NFL27,F,0.01,
BSE,977291,1,805JSWEL28,805JSWEL28,F,0.01,
BSE,977290,1,907KMPL28,907KMPL28,F,0.01,
BSE,977289,1,10MML28,10MML28,F,0.01,
BSE,977288,1,99MML27,99MML27,F,0.01,
BSE,977287,1,365JPL30,365JPL30,F,0.01,
BSE,977286,1,975RSIL30,975RSIL30,F,0.01,
BSE,977285,1,RRGHDPL29,RRGHDPL29,F,0.01,
BSE,977284,1,RRGHDPL28,RRGHDPL28,F,0.01,
BSE,977283,1,4AHPL29,4AHPL29,F,0.01,
BSE,977282,1,805HHFL30,805HHFL30,F,0.01,
BSE,977281,1,1165UCL31A,1165UCL31A,F,0.01,
BSE,977280,1,98MML27A,98MML27A,F,0.01,
BSE,977279,1,845PDL27,845PDL27,F,0.01,
BSE,977278,1,850PDL28,850PDL28,F,0.01,
BSE,977277,1,765GICHF28,765GICHF28,F,0.01,
BSE,977276,1,74IIF40,74IIF40,F,0.01,
BSE,977275,1,74IIF35,74IIF35,F,0.01,
BSE,977274,1,735IIF30,735IIF30,F,0.01,
BSE,977273,1,9MFL28,9MFL28,F,0.01,
BSE,977272,1,11MGFL27,11MGFL27,F,0.01,
BSE,977271,1,71PFCL40,71PFCL40,F,0.01,
BSE,977270,1,10NFL2027,10NFL2027,F,0.01,
BSE,977269,1,79PFL30,79PFL30,F,0.01,
BSE,977268,1,79PFL31,79PFL31,F,0.01,
BSE,977267,1,1020CMEE27,1020CMEE27,F,0.01,
BSE,977266,1,NWFL301025,NWFL301025,F,0.01,
BSE,977265,1,0360OPL28,0360OPL28,F,0.01,
BSE,977264,1,73MRHF28,73MRHF28,F,0.01,
BSE,977263,1,95KFIL27,95KFIL27,F,0.01,
BSE,977262,1,1150KSL27,1150KSL27,F,0.01,
BSE,977261,1,1070ESPL28,1070ESPL28,F,0.01,
BSE,977260,1,13ACAPL28,13ACAPL28,F,0.01,
BSE,977259,1,1115PPL27,1115PPL27,F,0.01,
BSE,977258,1,77GWHPL39,77GWHPL39,F,0.01,
BSE,977257,1,753GWHP39,753GWHP39,F,0.01,
BSE,977256,1,NWFL281025,NWFL281025,F,0.01,
BSE,977255,1,1135NMFL27,1135NMFL27,F,0.01,
BSE,977254,1,699OPAL30,699OPAL30,F,0.01,
BSE,977253,1,885MFL28,885MFL28,F,0.01,
BSE,977252,1,915MFL28A,915MFL28A,F,0.01,
BSE,977251,1,18VPIL29,18VPIL29,F,0.01,
BSE,977250,1,975MMLD28,975MMLD28,F,0.01,
BSE,977249,1,930MML28,930MML28,F,0.01,
BSE,977248,1,925MML27A,925MML27A,F,0.01,
BSE,977247,1,12VMVPL29,12VMVPL29,F,0.01,
BSE,977246,1,907NWIL28,907NWIL28,F,0.01,
BSE,977245,1,11SSFL28,11SSFL28,F,0.01,
BSE,977244,1,733HDBFS30,733HDBFS30,F,0.01,
BSE,977243,1,723AFL28,723AFL28,F,0.01,
BSE,977242,1,1152SRHF31,1152SRHF31,F,0.01,
BSE,977241,1,1140KRFL27,1140KRFL27,F,0.01,
BSE,977240,1,12MFL35,12MFL35,F,0.01,
BSE,977239,1,799ATSTL42,799ATSTL42,F,0.01,
BSE,977238,1,780ATSTL40,780ATSTL40,F,0.01,
BSE,977237,1,775ATSTL30,775ATSTL30,F,0.01,
BSE,977236,1,775ATSTL29,775ATSTL29,F,0.01,
BSE,977235,1,770ATSTL28,770ATSTL28,F,0.01,
BSE,977234,1,693SBI35,693SBI35,F,0.01,
BSE,977233,1,770ATSTL27,770ATSTL27,F,0.01,
BSE,977232,1,770ATSTL26,770ATSTL26,F,0.01,
BSE,977231,1,KPDL161025,KPDL161025,F,0.01,
BSE,977230,1,IFSL151025,IFSL151025,F,0.01,
BSE,977229,1,1055JSFB35,1055JSFB35,F,0.01,
BSE,977228,1,975UCL27,975UCL27,F,0.01,
BSE,977227,1,1025MBFL27,1025MBFL27,F,0.01,
BSE,977226,1,1350LLD29,1350LLD29,F,0.01,
BSE,977225,1,1050GFL027,1050GFL027,F,0.01,
BSE,977224,1,755PFL27,755PFL27,F,0.01,
BSE,977223,1,73IT2045,73IT2045,F,0.01,
BSE,977222,1,696IT45,696IT45,F,0.01,
BSE,977221,1,915SCL30,915SCL30,F,0.01,
BSE,977220,1,930SCL2035,930SCL2035,F,0.01,
BSE,977219,1,745BFL35,745BFL35,F,0.01,
BSE,977218,1,11SGIL29,11SGIL29,F,0.01,
BSE,977217,1,785BPRPL30,785BPRPL30,F,0.01,
BSE,977216,1,775BPRPL35,775BPRPL35,F,0.01,
BSE,977215,1,NWFL131025,NWFL131025,F,0.01,
BSE,977214,1,20ISPL28,20ISPL28,F,0.01,
BSE,977213,1,719KMIL28,719KMIL28,F,0.01,
BSE,977212,1,723KMIL28,723KMIL28,F,0.01,
BSE,977211,1,855AML27,855AML27,F,0.01,
BSE,977210,1,11PPL027,11PPL027,F,0.01,
BSE,977209,1,7264KMPL30,7264KMPL30,F,0.01,
BSE,977208,1,1140VFPL30,1140VFPL30,F,0.01,
BSE,977207,1,1125VFPL26,1125VFPL26,F,0.01,
BSE,977206,1,705JCL27,705JCL27,F,0.01,
BSE,977205,1,12ACAPL27A,12ACAPL27A,F,0.01,
BSE,977204,1,695BHFL28,695BHFL28,F,0.01,
BSE,977203,1,875PFL27,875PFL27,F,0.01,
BSE,977202,1,IFSL81025,IFSL81025,F,0.01,
BSE,977201,1,916INDIG29,916INDIG29,F,0.01,
BSE,977200,1,925HLFL31,925HLFL31,F,0.01,
BSE,977199,1,0IFL31,0IFL31,F,0.01,
BSE,977198,1,0IFL29,0IFL29,F,0.01,
BSE,977197,1,1150IFL28A,1150IFL28A,F,0.01,
BSE,977196,1,908NWFL27,908NWFL27,F,0.01,
BSE,977195,1,910SKFL28,910SKFL28,F,0.01,
BSE,977194,1,870AEL28,870AEL28,F,0.01,
BSE,977193,1,875360OP27,875360OP27,F,0.01,
BSE,977192,1,1725CPPL30,1725CPPL30,F,0.01,
BSE,977191,1,1425CSAI27,1425CSAI27,F,0.01,
BSE,977190,1,SFL29928,SFL29928,F,0.01,
BSE,977189,1,NWFL300925,NWFL300925,F,0.01,
BSE,977188,1,IFSL300925,IFSL300925,F,0.01,
BSE,977187,1,1025SRFC28,1025SRFC28,F,0.01,
BSE,977186,1,99SFCPL27,99SFCPL27,F,0.01,
BSE,977185,1,963CHL30,963CHL30,F,0.01,
BSE,977184,1,98OFSL28,98OFSL28,F,0.01,
BSE,977183,1,1175NCPL27,1175NCPL27,F,0.01,
BSE,977182,1,115MFIL28,115MFIL28,F,0.01,
BSE,977181,100000,1050LGS28,1050LGS28,F,0.01,
BSE,977180,1,91LGS28,91LGS28,F,0.01,
